Time (us),Waveform 1
0.0,0.25
0.1001001001001001,0.41197838754410815
0.2002002002002002,0.6075018218306016
0.3003003003003003,0.8016032370176129
0.4004004004004004,0.9464770032978479
0.5005005005005005,0.9999986109298504
0.6006006006006006,0.945425808387331
0.7007007007007008,0.7998236410957372
0.8008008008008008,0.6054799222198542
0.9009009009009009,0.41015119622141627
1.001001001001001,0.24861478078545798
1.1011011011011012,0.13484928058952952
1.2012012012012012,0.06544990931591797
1.3013013013013013,0.028425505121251013
1.4014014014014016,0.01104704336785568
1.5015015015015016,0.003841692974989442
1.6016016016016017,0.001195468051872552
1.7017017017017018,0.00033288331038573216
1.8018018018018018,8.294396560266626e-05
1.9019019019019021,1.8493380083437045e-05
2.002002002002002,3.6896614789109367e-06
2.1021021021021022,6.587118480758746e-07
2.2022022022022023,1.0523086841410981e-07
2.3023023023023024,1.5042830437803133e-08
2.4024024024024024,1.924219858418154e-09
2.5025025025025025,2.2025133575194183e-10
2.6026026026026026,2.2559067095959583e-11
2.702702702702703,2.0675805942237706e-12
2.802802802802803,1.6956744842494042e-13
2.902902902902903,1.2444035728734067e-14
3.0030030030030033,8.171819023275446e-16
3.1031031031031033,4.801920404537653e-17
3.2032032032032034,2.5249332442588197e-18
3.3033033033033035,1.1880195031501403e-19
3.4034034034034035,5.001911075901626e-21
3.5035035035035036,1.8844607193592048e-22
3.6036036036036037,6.3529719570555274e-24
3.7037037037037037,1.9164853941778965e-25
3.8038038038038042,5.173361367972399e-27
3.9039039039039043,1.249622522144784e-28
4.004004004004004,2.7009938707644932e-30
4.104104104104104,5.224047050595007e-32
4.2042042042042045,9.041266845918142e-34
4.3043043043043046,1.4002004768576216e-35
4.404404404404405,1.940393814604726e-37
4.504504504504505,2.4061808623686065e-39
4.604604604604605,2.6699638510899635e-41
4.704704704704705,2.651070157622288e-43
4.804804804804805,2.3554602898694644e-45
4.904904904904905,1.8727037465590395e-47
5.005005005005005,1.3322971477250336e-49
5.105105105105105,8.481483925279661e-52
5.205205205205205,4.831492557837364e-54
5.305305305305305,2.4628020868484924e-56
5.405405405405406,1.1233534859485516e-58
5.505505505505506,4.585029013231716e-61
5.605605605605606,1.6745821800411636e-63
5.705705705705706,5.472799894145753e-66
5.805805805805806,1.6004842291869555e-68
5.9059059059059065,4.188243812025768e-71
6.0060060060060065,9.807340151954761e-74
6.106106106106107,2.0549877987201652e-76
6.206206206206207,3.853061875542423e-79
6.306306306306307,6.464596837120484e-82
6.406406406406407,9.705449046464996e-85
6.506506506506507,1.3038527544113685e-87
6.606606606606607,1.5674012547512812e-90
6.706706706706707,1.68605042037987e-93
6.806806806806807,1.6229294904199186e-96
6.906906906906907,1.3978722143870539e-99
7.007007007007007,1.0773926771709685e-102
7.107107107107107,7.430521459182584e-106
7.207207207207207,4.585675218800533e-109
7.307307307307307,2.5323633451193684e-112
7.407407407407407,1.251374990937168e-115
7.507507507507508,5.533343741372728e-119
7.6076076076076085,2.1894072687928165e-122
7.7077077077077085,7.75182906215765e-126
7.807807807807809,2.455955794812391e-129
7.907907907907909,6.9626670852556865e-133
8.008008008008009,1.766320222682303e-136
8.108108108108109,4.0096085800201934e-140
8.208208208208209,8.144665309978017e-144
8.308308308308309,1.4804141678317377e-147
8.408408408408409,2.4078639763532015e-151
8.508508508508509,3.5044461621612856e-155
8.608608608608609,4.563999223832524e-159
8.70870870870871,5.318760781327592e-163
8.80880880880881,5.5464369448765796e-167
8.90890890890891,5.175549048421993e-171
9.00900900900901,4.321529717511459e-175
9.10910910910911,3.2289201508853784e-179
9.20920920920921,2.1588170193884294e-183
9.30930930930931,1.291555542788676e-187
9.40940940940941,6.914313522358521e-192
9.50950950950951,3.31225508439559e-196
9.60960960960961,1.4198328138484624e-200
9.70970970970971,5.446147118695912e-205
9.80980980980981,1.8693053772581015e-209
9.90990990990991,5.741295074271963e-214
10.01001001001001,1.5778953895601642e-218
10.11011011011011,3.880478421785287e-223
10.21021021021021,8.539472902877429e-228
10.31031031031031,1.681572448803688e-232
10.41041041041041,2.9630489625459434e-237
10.51051051051051,4.671978109201811e-242
10.61061061061061,6.591761671286942e-247
10.710710710710712,8.322253123728628e-252
10.810810810810812,9.401974550325556e-257
10.910910910910912,9.504646041625122e-262
11.011011011011012,8.597883404707005e-267
11.111111111111112,6.959625665868007e-272
11.211211211211213,5.041025996712452e-277
11.311311311311313,3.2673128408859916e-282
11.411411411411413,1.8949651549546657e-287
11.511511511511513,9.83445876619102e-293
11.611611611611613,4.567077964094963e-298
11.711711711711713,1.8978641122849746e-303
11.811811811811813,7.05716916830443e-309
11.911911911911913,2.348197758e-314
12.012012012012013,6.9915e-320
12.112112112112113,0.0
12.212212212212213,0.0
12.312312312312313,0.0
12.412412412412413,0.0
12.512512512512513,0.0
12.612612612612613,0.0
12.712712712712714,0.0
12.812812812812814,0.0
12.912912912912914,0.0
13.013013013013014,0.0
13.113113113113114,0.0
13.213213213213214,0.0
13.313313313313314,0.0
13.413413413413414,0.0
13.513513513513514,0.0
13.613613613613614,0.0
13.713713713713714,0.0
13.813813813813814,0.0
13.913913913913914,0.0
14.014014014014014,0.0
14.114114114114114,0.0
14.214214214214214,0.0
14.314314314314315,0.0
14.414414414414415,0.0
14.514514514514515,0.0
14.614614614614615,0.0
14.714714714714715,0.0
14.814814814814815,0.0
14.914914914914915,0.0
15.015015015015017,0.0
15.115115115115117,0.0
15.215215215215217,0.0
15.315315315315317,0.0
15.415415415415417,0.0
15.515515515515517,0.0
15.615615615615617,0.0
15.715715715715717,0.0
15.815815815815817,0.0
15.915915915915917,0.0
16.016016016016017,0.0
16.116116116116117,0.0
16.216216216216218,0.0
16.316316316316318,0.0
16.416416416416418,0.0
16.516516516516518,0.0
16.616616616616618,0.0
16.716716716716718,0.0
16.816816816816818,0.0
16.916916916916918,0.0
17.017017017017018,0.0
17.117117117117118,0.0
17.217217217217218,0.0
17.31731731731732,0.0
17.41741741741742,0.0
17.51751751751752,0.0
17.61761761761762,0.0
17.71771771771772,0.0
17.81781781781782,0.0
17.91791791791792,0.0
18.01801801801802,0.0
18.11811811811812,0.0
18.21821821821822,0.0
18.31831831831832,0.0
18.41841841841842,0.0
18.51851851851852,0.0
18.61861861861862,0.0
18.71871871871872,0.0
18.81881881881882,0.0
18.91891891891892,0.0
19.01901901901902,0.0
19.11911911911912,0.0
19.21921921921922,0.0
19.31931931931932,0.0
19.41941941941942,0.0
19.51951951951952,0.0
19.61961961961962,0.0
19.71971971971972,0.0
19.81981981981982,0.0
19.91991991991992,0.0
20.02002002002002,0.0
20.12012012012012,0.0
20.22022022022022,0.0
